metric,mean,median,min,max,std
snapshot_index,50.5,50.5,1.0,100.0,29.011491975882016
timestamp_sec,151.18,151.18,1.52,300.84,87.71891462984699
frame_index,3779.5,3779.5,38.0,7521.0,2192.9728657461746
width,1280.0,1280.0,1280.0,1280.0,0.0
height,720.0,720.0,720.0,720.0,0.0
edge_pixels,140776.38,135552.5,13435.0,294869.0,83177.79620311946
edge_density,0.15275214843749998,0.14708387586805555,0.01457790798611111,0.31995334201388886,0.09025368511623207
skeleton_pixels,110935.4,107044.0,10594.0,239512.0,66265.2301914302
skeleton_density,0.12037261284722219,0.11615017361111112,0.011495225694444444,0.2598871527777778,0.0719023765097984
delaunay_points,1518.04,1600.0,588.0,1600.0,195.57544825359844
delaunay_triangles,3014.21,3175.0,1170.0,3183.0,385.0735282010595
delaunay_edges,4531.25,4774.0,1757.0,4782.0,580.6332727933764
voronoi_vertices,3011.68,3174.0,1167.0,3182.0,387.3333562822713
voronoi_ridges,4528.72,4773.0,1754.0,4781.0,582.8952827970653
voronoi_enclosed_cells,1413.42,1486.5,568.0,1521.0,176.23997528622414
image_enclosed_cells,276.7,252.0,7.0,1079.0,242.97485009312751
graph_vertices,33842.59,25581.0,1999.0,98991.0,26653.753194919034
graph_edges_est,120149.65,113364.5,10829.0,276407.0,75239.73810714534
intersection_points,23806.26,16866.0,1222.0,76434.0,20502.951155214978
endpoints,10036.33,8715.0,777.0,22804.0,6362.875698347899
veins,978.69,1077.5,51.0,2272.0,515.9844899203695
arteries,653.02,718.5,34.0,1515.0,343.94244233063705
total_vein_length_px,23910.65,26395.0,2386.0,47729.0,12143.604809328715
total_artery_length_px,83035.12,72182.0,7636.0,214934.0,57595.56928215008
longest_vein_px,314.93,186.0,85.0,1280.0,285.58153517397307
longest_artery_px,13944.34,1948.5,389.0,147787.0,34041.8581073123
mean_vein_length_px,25.767731734876314,25.815049864007253,17.360915492957748,46.78431372549019,5.329223324234777
mean_artery_length_px,137.05280935569783,118.19419478066078,55.93003300330033,326.15174506828527,70.61337436057308
simulon_count,25496.38,18594.0,1797.0,78174.0,20646.124768957336
simulon_density,0.027665342881944454,0.02017578125,0.0019498697916666666,0.08482421875,0.02240247913298322
simulon_field_energy,5209.388185702041,2666.0140925835503,24.271146592881944,23368.866491699217,6449.639027495907
simulon_entropy,0.9266953954666434,0.9622324153321435,0.7090237905894813,0.9876489870081853,0.07841685520309383
simulon_cohesion,0.996446261875368,0.9962453066332916,0.991447642886942,0.9997352396081546,0.0017586024315974958
vein_to_artery_length_ratio,0.34475258664647174,0.3184398129228534,0.08104348311574716,0.6081160269557574,0.14283452454579687
artery_to_vein_length_ratio,3.809126374864312,3.1403108512762015,1.6444230305950374,12.339055054825192,2.6463438253478224
net_complexity_index,0.4920259881331895,0.49475572081555497,0.38520179245634517,0.6000988936054359,0.059609773563330457
enclosure_total,1690.12,1740.0,575.0,2542.0,351.53272704233126
vascular_total_length_px,106945.77,103529.0,10022.0,232353.0,64037.34956547474
artery_share_of_length,0.7522277395559189,0.7584722413555586,0.6218456773253166,0.9250321708779314,0.08226443456238519
simulon_per_intersection,1.1692428080026465,1.1039288270596248,1.0227647382055107,2.0856,0.19559064923268085
