time_bin_100,start_frame,end_frame,start_sec,end_sec,mean_simulon_count,max_simulon_count,mean_field_energy,mean_intersection_points,mean_enclosure_total,mean_longest_artery_px,state_count
1,0,75,0.0,3.0,49688.0,49688,10873.571758789061,47945.0,1743.0,20259.0,1
2,76,151,3.04,6.04,36343.96052631579,49688,7320.254408421566,34452.10526315789,1891.8552631578948,13321.065789473685,2
3,152,226,6.08,9.04,12127.0,12127,871.6414392361112,9965.0,2162.0,730.0,1
4,227,302,9.08,12.08,29278.776315789473,36722,5869.181943923325,27523.342105263157,1755.4342105263158,3783.7763157894738,2
5,303,377,12.12,15.08,36547.64,36722,7967.433368046875,34960.28,1587.36,5464.32,2
6,378,453,15.12,18.12,32363.0,32363,6275.611724609375,30575.0,1788.0,13992.0,1
7,454,529,18.16,21.16,36535.76315789474,42934,7303.254296994929,34773.02631578947,1762.7368421052631,14057.921052631578,2
8,530,604,21.2,24.16,42934.0,42934,8878.97290798611,41210.0,1724.0,14159.0,1
9,605,680,24.2,27.2,28161.052631578947,42934,5293.9557780519,26524.736842105263,1636.3157894736842,4958.0526315789475,2
10,681,755,27.24,30.2,22331.16,22885,3832.383397690972,20705.04,1626.12,1675.04,2
11,756,831,30.24,33.24,15962.0,15962,1748.478521484375,14093.0,1869.0,1710.0,1
12,832,907,33.28,36.28,11052.815789473685,15962,1046.4758932976972,9339.263157894737,1713.5526315789473,1280.1315789473683,2
13,908,982,36.32,39.28,4656.0,4656,131.74519596354165,3145.0,1511.0,720.0,1
14,983,1058,39.32,42.32,13599.934210526315,16177,2181.869176981965,12099.802631578947,1500.1315789473683,1106.6052631578948,2
15,1059,1133,42.36,45.32,14451.4,16177,2442.785460047743,13065.04,1386.36,1283.88,2
16,1134,1209,45.36,48.36,1797.0,1797,24.271146592881944,1222.0,575.0,1767.0,1
17,1210,1285,48.4,51.4,7948.736842105263,14784,738.4209629991319,6889.1578947368425,1059.578947368421,1738.578947368421,2
18,1286,1360,51.44,54.4,14784.0,14784,1531.9207590060764,13186.0,1598.0,1707.0,1
19,1361,1436,54.44,57.44,32313.684210526317,36272,6592.377910191943,30174.815789473683,2138.8684210526317,5119.4473684210525,2
20,1437,1511,57.48,60.44,35187.2,36272,7365.59396970703,32998.2,2189.0,6619.6,2
21,1512,1587,60.48,63.48,29492.0,29492,5425.887949707031,27681.0,1811.0,10450.0,1
22,1588,1662,63.52,66.48,26531.546666666665,29492,5190.769570596789,24352.706666666665,2178.84,5888.48,2
23,1663,1738,66.52,69.52,23649.0,23649,4961.838517252605,21112.0,2537.0,1447.0,1
24,1739,1814,69.56,72.56,27763.67105263158,28460,5187.207310459071,25736.407894736843,2027.2631578947369,3072.8552631578946,2
25,1815,1889,72.6,75.56,29974.0,36030,5712.56244514974,27973.2,2000.8,3936.0,2
26,1890,1965,75.6,78.6,36030.0,36030,7661.425646972656,33790.0,2240.0,6288.0,1
27,1966,2040,78.64,81.6,30395.506666666668,36030,5774.143975672743,28405.88,1989.6266666666668,6295.653333333334,2
28,2041,2116,81.64,84.64,25723.0,25723,4209.081126302083,23941.0,1782.0,6302.0,1
29,2117,2192,84.68,87.68,15995.421052631578,25723,1717.7835371436404,14127.526315789473,1867.8947368421052,1404.2105263157894,2
30,2193,2267,87.72,90.68,12402.76,14851,1115.1385257291668,10674.76,1728.0,903.84,2
31,2268,2343,90.72,93.72,4650.0,4650,134.8931306423611,3397.0,1253.0,1144.0,1
32,2344,2418,93.76,96.72,4650.0,4650,134.8931306423611,3397.0,1253.0,1144.0,1
33,2419,2494,96.76,99.76,12403.618421052632,28221,1810.5861079943918,10975.947368421053,1427.671052631579,1831.171052631579,2
34,2495,2570,99.8,102.8,28221.0,28221,5228.999781792534,26437.0,1784.0,3233.0,1
35,2571,2645,102.84,105.8,39602.84,44959,8093.060373923611,37833.8,1769.04,10825.88,2
36,2646,2721,105.84,108.84,44679.94736842105,44959,9379.88482947848,42922.71052631579,1757.2368421052631,14114.052631578947,2
37,2722,2796,108.88,111.84,34355.0,34355,7124.040551432292,32774.0,1581.0,3571.0,1
38,2797,2872,111.88,114.88,36182.73684210526,39316,7519.367102470533,34474.26315789474,1708.4736842105262,3688.157894736842,2
39,2873,2948,114.92,117.92,39316.0,39316,8197.06976139323,37389.0,1927.0,3889.0,1
40,2949,3023,117.96,120.92,40245.52,40607,8666.197205690103,38464.68,1780.84,5412.52,2
41,3024,3099,120.96,123.96,39204.30263157895,40607,8434.73922818796,37472.47368421053,1731.828947368421,5752.3026315789475,2
42,3100,3174,124.0,126.96,19286.0,19286,2557.4099497070315,17443.0,1843.0,2164.0,1
43,3175,3250,127.0,130.0,27269.723684210527,38859,5442.209140971223,25142.82894736842,2126.8947368421054,4110.881578947368,2
44,3251,3325,130.04,133.0,38859.0,38859,9629.820870225694,36320.0,2539.0,6937.0,1
45,3326,3401,133.04,136.04,34440.0,38859,7297.599891710069,32460.5,1979.5,5545.0,2
46,3402,3477,136.08,139.08,30763.63157894737,32967,5951.080848318714,28963.263157894737,1800.3684210526317,4688.1578947368425,2
47,3478,3552,139.12,142.08,12035.0,12035,1113.6284186197918,10172.0,1863.0,1349.0,1
48,3553,3628,142.12,145.12,17916.105263157893,25181,2389.186843775699,16160.921052631578,1755.1842105263158,1707.342105263158,2
49,3629,3703,145.16,148.12,25181.0,25181,3964.8766630859377,23559.0,1622.0,2150.0,1
50,3704,3779,148.16,151.16,19582.842105263157,25181,2601.639456140351,17966.36842105263,1616.4736842105262,2617.3684210526317,2
51,3780,3855,151.2,154.2,18577.763157894737,21460,2348.7810727639003,16962.61842105263,1615.1447368421052,2620.1315789473683,2
52,3856,3930,154.24,157.2,21460.0,21460,3002.7492546657986,19844.0,1616.0,1900.0,1
53,3931,4006,157.24,160.24,25781.21052631579,30336,4069.783508174428,24156.447368421053,1624.7631578947369,3769.9605263157896,2
54,4007,4081,160.28,163.24,30336.0,30336,5194.4952888997395,28702.0,1634.0,5741.0,1
55,4082,4157,163.28,166.28,29682.78947368421,30336,5015.439842623527,27890.46052631579,1792.328947368421,10498.328947368422,2
56,4158,4233,166.32,169.32,24963.92105263158,29548,4083.607427296064,23266.763157894737,1697.157894736842,9546.157894736842,2
57,4234,4308,169.36,172.32,4663.0,4663,120.54764887152778,3532.0,1131.0,982.0,1
58,4309,4384,172.36,175.36,4663.0,4663,120.54764887152778,3532.0,1131.0,982.0,1
59,4385,4459,175.4,178.36,4663.0,4663,120.54764887152778,3532.0,1131.0,982.0,1
60,4460,4535,178.4,181.4,4663.0,4663,120.54764887152778,3532.0,1131.0,982.0,1
61,4536,4610,181.44,184.4,4663.0,4663,120.54764887152778,3532.0,1131.0,982.0,1
62,4611,4686,184.44,187.44,4663.0,4663,120.54764887152778,3532.0,1131.0,982.0,1
63,4687,4762,187.48,190.48,4663.0,4663,120.54764887152778,3532.0,1131.0,982.0,1
64,4763,4837,190.52,193.48,4663.0,4663,120.54764887152778,3532.0,1131.0,982.0,1
65,4838,4913,193.52,196.52,4663.0,4663,120.54764887152778,3532.0,1131.0,982.0,1
66,4914,4988,196.56,199.52,4663.0,4663,120.54764887152778,3532.0,1131.0,982.0,1
67,4989,5064,199.56,202.56,2904.5789473684213,4663,86.66697313025402,1580.2894736842106,1324.2894736842106,1086.342105263158,2
68,5065,5140,202.6,205.6,2849.7368421052633,3760,97.38305683479533,1451.8947368421052,1397.842105263158,1060.2105263157894,2
69,5141,5215,205.64,208.6,3760.0,3760,159.0695687934028,2209.0,1551.0,896.0,1
70,5216,5291,208.64,211.64,42507.21052631579,73874,12108.895430485596,40778.26315789474,1728.9473684210527,38681.07894736842,2
71,5292,5366,211.68,214.64,73874.0,73874,21782.5639851888,72001.0,1873.0,69269.0,1
72,5367,5442,214.68,217.68,73658.36842105263,73874,21775.780463210434,71655.63157894737,2002.7368421052631,71904.0,2
73,5443,5518,217.72,220.72,72072.5,73633,21057.19952010091,70079.0,1993.5,65717.5,2
74,5519,5593,220.76,223.72,67391.0,67391,18903.850875,65471.0,1920.0,46228.0,1
75,5594,5669,223.76,226.76,29652.57894736842,67391,7780.61083568051,28007.907894736843,1644.671052631579,19085.302631578947,2
76,5670,5744,226.8,229.76,3655.0,3655,117.93436414930557,2200.0,1455.0,387.0,1
77,5745,5820,229.8,232.8,13360.513157894737,14044,1009.6179405381945,11758.842105263158,1601.671052631579,969.9473684210526,2
78,5821,5896,232.84,235.84,14258.21052631579,14784,1205.428090292055,12650.263157894737,1607.9473684210527,1212.4736842105262,2
79,5897,5971,235.88,238.84,14784.0,14784,1531.9207590060764,13186.0,1598.0,1707.0,1
80,5972,6047,238.88,241.88,21184.42105263158,24918,2996.7130433399575,19510.63157894737,1673.7894736842106,2168.684210526316,2
81,6048,6122,241.92,244.88,24918.0,24918,3851.175209201389,23200.0,1718.0,2438.0,1
82,6123,6198,244.92,247.92,12463.605263157895,24918,950.05022265625,10313.28947368421,2150.315789473684,774.9473684210526,2
83,6199,6273,247.96,250.92,13315.8,15842,1047.823957013889,11146.12,2169.68,799.76,2
84,6274,6349,250.96,253.96,15842.0,15842,1422.2118072916667,13656.0,2186.0,948.0,1
85,6350,6425,254.0,257.0,13425.53947368421,15842,1060.2890125154195,11257.657894736842,2167.8815789473683,682.2631578947369,2
86,6426,6500,257.04,260.0,12291.56,16033,894.859224615162,10139.973333333333,2151.5866666666666,569.9066666666666,2
87,6501,6576,260.04,263.04,16033.0,16033,1781.6268873697913,14430.0,1603.0,1895.0,1
88,6577,6651,263.08,266.04,16033.0,16033,1781.6268873697916,14430.0,1603.0,1895.0,1
89,6652,6727,266.08,269.08,16033.0,16033,1781.6268873697913,14430.0,1603.0,1895.0,1
90,6728,6803,269.12,272.12,16033.0,16033,1781.6268873697913,14430.0,1603.0,1895.0,1
91,6804,6878,272.16,275.12,16100.093333333334,16181,1857.8853502777777,14401.44,1698.6533333333334,2147.96,2
92,6879,6954,275.16,278.16,16181.0,16181,1949.8440849609374,14367.0,1814.0,2453.0,1
93,6955,7029,278.2,281.16,16181.0,16181,1949.8440849609374,14367.0,1814.0,2453.0,1
94,7030,7105,281.2,284.2,16181.0,16181,1949.8440849609374,14367.0,1814.0,2453.0,1
95,7106,7181,284.24,287.24,46361.80263157895,78174,12377.526046136152,44583.82894736842,1777.9736842105262,73207.71052631579,2
96,7182,7256,287.28,290.24,78174.0,78174,23368.866491699217,76434.0,1740.0,147787.0,1
97,7257,7332,290.28,293.28,78174.0,78174,23368.866491699217,76434.0,1740.0,147787.0,1
98,7333,7407,293.32,296.28,78174.0,78174,23368.866491699217,76434.0,1740.0,147787.0,1
99,7408,7483,296.32,299.32,78174.0,78174,23368.866491699217,76434.0,1740.0,147787.0,1
100,7484,7559,299.36,302.36,78174.0,78174,23368.866491699217,76434.0,1740.0,147787.0,1
