snapshot_index,source,timestamp_mmss,timestamp_sec,frame_index,width,height,edge_pixels,edge_density,skeleton_pixels,skeleton_density,delaunay_points,delaunay_triangles,delaunay_edges,voronoi_vertices,voronoi_ridges,voronoi_enclosed_cells,image_enclosed_cells,graph_vertices,graph_edges_est,intersection_points,endpoints,veins,arteries,total_vein_length_px,total_artery_length_px,longest_vein_px,longest_artery_px,mean_vein_length_px,mean_artery_length_px,simulon_count,simulon_density,simulon_field_energy,simulon_entropy,simulon_cohesion,vein_to_artery_length_ratio,net_complexity_index
1,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:15.12,15.12,378,1280,720,196278,0.21297526041666667,146069,0.15849500868055555,1600,3177,4776,3176,4775,1489,299,44684,156789,30575,14109,1289,859,29985.0,110390.0,155.0,13992.0,23.2622187742436,128.50989522700814,32363,0.03511610243055555,6275.611724609375,0.9831861770354154,0.9962453066332916,0.27162786484282997,0.5293561815627913
2,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:45.36,45.36,1134,1280,720,13435,0.01457790798611111,10594,0.011495225694444444,588,1170,1757,1167,1754,568,7,1999,10829,1222,777,51,34,2386.0,7636.0,720.0,1767.0,46.78431372549019,224.58823529411765,1797,0.0019498697916666666,24.271146592881944,0.7090237905894813,0.9994311717861206,0.31246726034573075,0.38520179245634517
3,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:15.60,75.6,1890,1280,720,212416,0.2304861111111111,165176,0.17922743055555557,1600,3178,4777,3178,4777,1490,747,48863,177544,33797,15066,1487,992,37202.0,122040.0,153.0,6286.0,25.01815736381977,123.0241935483871,36034,0.03909939236111111,7659.079720052084,0.9850007825194482,0.9964539007092199,0.30483448049819734,0.5405432304607628
4,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:45.84,105.84,2646,1280,720,209116,0.22690538194444446,164271,0.17824544270833334,1600,3169,4768,3168,4767,1486,276,58793,182757,43245,15548,1099,734,31516.0,128349.0,304.0,14495.0,28.67697907188353,174.8623978201635,45007,0.04883572048611111,9446.027139756945,0.9763856845776395,0.9945765540258656,0.2455492446376676,0.5464743886680473
5,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:16.08,136.08,3402,1280,720,196234,0.21292751736111112,156331,0.16962999131944445,1600,3176,4775,3176,4775,1479,314,45727,167560,31174,14553,1401,934,38958.0,112227.0,645.0,5081.0,27.80728051391863,120.15738758029978,32967,0.035771484375,6520.192898871528,0.9785170567357528,0.9960367125573634,0.3471357160041701,0.5303356469874309
6,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:46.28,166.28,4157,1280,720,167161,0.18138129340277778,133193,0.14452365451388888,1600,3183,4782,3182,4781,1497,332,39966,143277,27722,12244,1170,781,28205.0,97907.0,202.0,11480.0,24.10683760683761,125.36107554417414,29551,0.03206488715277778,4978.954052083333,0.9716483863645403,0.9974968710888611,0.2880795040191202,0.5174188262725425
7,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,03:16.52,196.52,4913,1280,720,25513,0.027683376736111112,20676,0.022434895833333333,1160,2314,3473,2304,3463,1096,35,5309,21748,3532,1777,129,87,3494.0,16108.0,720.0,982.0,27.085271317829456,185.1494252873563,4663,0.005059678819444444,120.54764887152778,0.7749455392449711,0.9997121473805411,0.2169108517506829,0.4120477180764106
8,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,03:46.76,226.76,5669,1280,720,32281,0.03502712673611111,24884,0.027000868055555554,1494,2962,4455,2954,4447,1402,52,4511,24865,2187,2324,404,270,7898.0,15259.0,162.0,389.0,19.54950495049505,56.51481481481481,3641,0.003950737847222222,117.3377236328125,0.8828286582493028,0.9953083109919572,0.5175961727505078,0.3945918364018621
9,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,04:17.00,257.0,6425,1280,720,72447,0.07861002604166667,55290,0.05999348958333333,1600,3175,4774,3175,4774,1473,685,15205,58647,10096,5109,656,437,19667.0,35221.0,130.0,552.0,29.98018292682927,80.59725400457666,12254,0.013296440972222223,883.5148901367188,0.8504088507515671,0.9958281184814352,0.5583884614292609,0.4453156726859684
10,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,04:47.24,287.24,7181,1280,720,294869,0.31995334201388886,239512,0.2598871527777778,1600,3181,4780,3180,4779,1484,256,98991,276407,76434,22557,987,659,17419.0,214934.0,130.0,147787.0,17.648429584599796,326.15174506828527,78174,0.08482421875,23368.866491699217,0.9876489870081853,0.9970796829370046,0.08104348311574716,0.6000988936054359
