snapshot_index,source,timestamp_mmss,timestamp_sec,frame_index,width,height,edge_pixels,edge_density,skeleton_pixels,skeleton_density,delaunay_points,delaunay_triangles,delaunay_edges,voronoi_vertices,voronoi_ridges,voronoi_enclosed_cells,image_enclosed_cells,graph_vertices,graph_edges_est,intersection_points,endpoints,veins,arteries,total_vein_length_px,total_artery_length_px,longest_vein_px,longest_artery_px,mean_vein_length_px,mean_artery_length_px,simulon_count,simulon_density,simulon_field_energy,simulon_entropy,simulon_cohesion,vein_to_artery_length_ratio,artery_to_vein_length_ratio,net_complexity_index,enclosure_total,vascular_total_length_px,artery_share_of_length,simulon_per_intersection
1,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:01.52,1.52,38,1280,720,218147,0.23670464409722222,171086,0.18564019097222223,1600,3170,4769,3166,4765,1492,252,64330,192236,47936,16394,983,656,27271.0,139453.0,235.0,20346.0,27.74262461851475,212.58079268292684,49680,0.05390625,10871.796839898003,0.9769475911677671,0.9947851481017939,0.19555692598940144,5.113600528033442,0.5529308983532183,1744,166724.0,0.8364302679878122,1.036381842456609
2,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:04.52,4.52,113,1280,720,218147,0.23670464409722222,171086,0.18564019097222223,1600,3170,4769,3166,4765,1492,252,64330,192236,47936,16394,983,656,27271.0,139453.0,235.0,20346.0,27.74262461851475,212.58079268292684,49680,0.05390625,10871.796839898003,0.9769475911677671,0.9947851481017939,0.19555692598940144,5.113600528033442,0.5529308983532183,1744,166724.0,0.8364302679878122,1.036381842456609
3,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:07.56,7.56,189,1280,720,72308,0.07845920138888889,55303,0.060007595486111114,1600,3176,4775,3174,4773,1465,699,15037,58607,9967,5070,647,432,20755.0,34130.0,171.0,730.0,32.07882534775889,79.00462962962963,12131,0.013162977430555556,873.5178222656249,0.8561510859537117,0.9960367125573634,0.6081160269557574,1.6444230305950374,0.4459337856608368,2164,54885.0,0.6218456773253166,1.2171164843985152
4,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:10.60,10.6,265,1280,720,218997,0.237626953125,169602,0.18402994791666666,1600,3172,4771,3171,4770,1487,93,50770,182424,35137,15633,1688,1126,47729.0,115151.0,198.0,5109.0,28.275473933649288,102.26554174067496,36717,0.03984049479166667,8036.395271809896,0.9849675166699952,0.9952023362536504,0.4144905385103039,2.4126003058936916,0.5435359410898706,1580,162880.0,0.7069683202357564,1.0449668440675073
5,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:13.60,13.6,340,1280,720,218997,0.237626953125,169602,0.18402994791666666,1600,3172,4771,3171,4770,1487,93,50770,182424,35137,15633,1688,1126,47729.0,115151.0,198.0,5109.0,28.275473933649288,102.26554174067496,36717,0.03984049479166667,8036.395271809896,0.9849675166699952,0.9952023362536504,0.4144905385103039,2.4126003058936916,0.5435359410898706,1580,162880.0,0.7069683202357564,1.0449668440675073
6,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:16.64,16.64,416,1280,720,196444,0.21315538194444444,146212,0.1586501736111111,1600,3175,4774,3175,4774,1488,299,44730,156938,30598,14132,1291,861,30060.0,110420.0,155.0,13964.0,23.284275755228506,128.24622531939605,32385,0.035139973958333334,6285.428212673611,0.9805300840587158,0.9958281184814352,0.27223329107045824,3.67332002661344,0.5289423626957444,1787,140480.0,0.7860193621867881,1.0584025099679717
7,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:19.64,19.64,491,1280,720,196444,0.21315538194444444,146212,0.1586501736111111,1600,3175,4774,3175,4774,1488,299,44730,156938,30598,14132,1291,861,30060.0,110420.0,155.0,13964.0,23.284275755228506,128.24622531939605,32385,0.035139973958333334,6285.428212673611,0.9805300840587158,0.9958281184814352,0.27223329107045824,3.67332002661344,0.5289423626957444,1787,140480.0,0.7860193621867881,1.0584025099679717
8,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:22.68,22.68,567,1280,720,206715,0.22430013020833334,160713,0.174384765625,1600,3174,4773,3173,4772,1481,241,56570,177676,41208,15362,1106,737,28273.0,126899.0,316.0,9117.0,25.563291139240505,172.18317503392132,42930,0.04658203125,8879.408109049478,0.976940975609872,0.9956195244055068,0.22279923403651722,4.488345771584197,0.5437395946778747,1722,155172.0,0.8177957363441858,1.0417880023296446
9,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:25.72,25.72,643,1280,720,173257,0.18799587673611112,140017,0.15192816840277779,1600,3170,4769,3170,4769,1501,104,31172,147588,21276,9896,1330,887,39270.0,96417.0,150.0,1672.0,29.526315789473685,108.7001127395716,22881,0.024827473958333332,4012.866195746528,0.9745138360069696,0.9947851481017939,0.4072933196428016,2.4552330022918256,0.5186863660936561,1605,135687.0,0.7105839173981295,1.0754371122391426
10,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:28.72,28.72,718,1280,720,173257,0.18799587673611112,140017,0.15192816840277779,1600,3170,4769,3170,4769,1501,104,31172,147588,21276,9896,1330,887,39270.0,96417.0,150.0,1672.0,29.526315789473685,108.7001127395716,22881,0.024827473958333332,4012.866195746528,0.9745138360069696,0.9947851481017939,0.4072933196428016,2.4552330022918256,0.5186863660936561,1605,135687.0,0.7105839173981295,1.0754371122391426
11,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:31.76,31.76,794,1280,720,108267,0.11747721354166667,87042,0.09444661458333334,1600,3176,4775,3176,4775,1505,366,21956,91328,14092,7864,926,617,22796.0,60848.0,137.0,1710.0,24.617710583153347,98.61912479740681,15963,0.017320963541666668,1746.725068359375,0.951022411200615,0.9960367125573634,0.3746384433342098,2.669240217582032,0.4745571780970627,1871,83644.0,0.7274640141552293,1.1327703661652002
12,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:34.76,34.76,869,1280,720,108267,0.11747721354166667,87042,0.09444661458333334,1600,3176,4775,3176,4775,1505,366,21956,91328,14092,7864,926,617,22796.0,60848.0,137.0,1710.0,24.617710583153347,98.61912479740681,15963,0.017320963541666668,1746.725068359375,0.951022411200615,0.9960367125573634,0.3746384433342098,2.669240217582032,0.4745571780970627,1871,83644.0,0.7274640141552293,1.1327703661652002
