snapshot_index,source,timestamp_mmss,timestamp_sec,frame_index,width,height,edge_pixels,edge_density,skeleton_pixels,skeleton_density,delaunay_points,delaunay_triangles,delaunay_edges,voronoi_vertices,voronoi_ridges,voronoi_enclosed_cells,image_enclosed_cells,graph_vertices,graph_edges_est,intersection_points,endpoints,veins,arteries,total_vein_length_px,total_artery_length_px,longest_vein_px,longest_artery_px,mean_vein_length_px,mean_artery_length_px,simulon_count,simulon_density,simulon_field_energy,simulon_entropy,simulon_cohesion,state_index,segment_index,segment_start_frame,segment_end_frame_exclusive,segment_length_frames,segment_start_sec,segment_end_sec_exclusive,vein_to_artery_length_ratio,artery_to_vein_length_ratio,enclosure_total,vascular_total_length_px,artery_share_of_length,simulon_per_intersection,net_complexity_index
1,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:00.00,0.0,0,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,1,1,0,125,125,0.0,5.0,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707
2,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:05.00,5.0,125,1280,720,72181,0.07832139756944445,55194,0.05988932291666667,1600,3175,4774,3173,4772,1457,705,15037,58495,9965,5072,646,431,20718.0,34058.0,171.0,730.0,32.07120743034056,79.02088167053364,12127,0.013158637152777777,871.6414392361112,0.8753900376318814,0.9958281184814352,2,2,125,250,125,5.0,10.0,0.6083152269657642,1.6438845448402355,2162,54776.0,0.6217686578063385,1.2169593577521325,0.4486967425907093
3,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:10.00,10.0,250,1280,720,219009,0.23763997395833333,169611,0.18403971354166668,1600,3173,4772,3173,4772,1486,93,50777,182436,35143,15634,1689,1127,47743.0,115145.0,198.0,5109.0,28.26702190645352,102.16947648624667,36722,0.039845920138888886,8037.9259365234375,0.9835080158410103,0.9954109303295786,3,3,250,375,125,10.0,15.0,0.4146337226974684,2.4117671700563434,1579,162888.0,0.7068967634202642,1.0449307116637738,0.5433587154353611
4,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:15.00,15.0,375,1280,720,196278,0.21297526041666667,146069,0.15849500868055555,1600,3177,4776,3176,4775,1489,299,44684,156789,30575,14109,1289,859,29985.0,110390.0,155.0,13992.0,23.2622187742436,128.50989522700814,32363,0.03511610243055555,6275.611724609375,0.9831861770354154,0.9962453066332916,4,4,375,500,125,15.0,20.0,0.27162786484282997,3.681507420376855,1788,140375.0,0.7863935886019591,1.0584791496320523,0.5293561815627913
5,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:20.00,20.0,500,1280,720,206662,0.22424262152777777,160734,0.17440755208333333,1600,3175,4774,3174,4773,1486,238,56737,177659,41210,15527,1149,766,28365.0,126774.0,316.0,14159.0,24.68668407310705,165.50130548302872,42934,0.04658637152777778,8878.97290798611,0.9778025406443304,0.9958281184814352,5,5,500,625,125,20.0,25.0,0.2237446164039945,4.469381279746166,1724,155139.0,0.8171639626399552,1.0418345061878185,0.5434656528864702
6,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:25.00,25.0,625,1280,720,173258,0.18799696180555556,140018,0.15192925347222222,1600,3170,4769,3170,4769,1501,104,31176,147591,21280,9896,1330,887,39270.0,96418.0,150.0,1672.0,29.526315789473685,108.70124013528749,22885,0.02483181423611111,4013.592517361111,0.9745281850642938,0.9947851481017939,6,6,625,750,125,25.0,30.0,0.40728909539712504,2.4552584670231727,1605,135688.0,0.7105860503508048,1.075422932330827,0.5186972073660153
7,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:30.00,30.0,750,1280,720,108384,0.11760416666666666,87132,0.09454427083333333,1600,3176,4775,3172,4771,1502,367,21953,91418,14093,7860,925,617,22794.0,60944.0,137.0,1710.0,24.642162162162162,98.77471636952998,15962,0.017319878472222223,1748.4785214843748,0.9475322211458017,0.9960367125573634,7,7,750,875,125,30.0,35.0,0.3740154896298241,2.6736860577344914,1869,83738.0,0.7277938331462418,1.1326190307244732,0.4741179190547383
8,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:35.00,35.0,875,1280,720,27945,0.030322265625,22593,0.024514973958333332,1340,2658,3997,2656,3995,1274,237,4702,23682,3145,1557,231,154,7318.0,14968.0,245.0,720.0,31.67965367965368,97.1948051948052,4656,0.005052083333333333,131.74519596354165,0.7783741616454225,0.9957648231190832,8,8,875,1000,125,35.0,40.0,0.48890967397113844,2.045367586772342,1511,22286.0,0.6716324149690388,1.4804451510333863,0.41389338480549714
9,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:40.00,40.0,1000,1280,720,173939,0.18873589409722222,128238,0.13914713541666668,1600,3148,4747,3147,4746,1438,59,23111,131472,14680,8431,2271,1515,39419.0,84748.0,90.0,1218.0,17.357551739321885,55.93927392739274,16177,0.017553168402777777,2772.5828664279516,0.9765558205037105,0.9901960784313726,9,9,1000,1125,125,40.0,45.0,0.46513192051729835,2.1499276998401786,1497,124167.0,0.6825323958861855,1.1019754768392371,0.5065020524559947
10,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,00:45.00,45.0,1125,1280,720,13435,0.01457790798611111,10594,0.011495225694444444,588,1170,1757,1167,1754,568,7,1999,10829,1222,777,51,34,2386.0,7636.0,720.0,1767.0,46.78431372549019,224.58823529411765,1797,0.0019498697916666666,24.271146592881944,0.7090237905894813,0.9994311717861206,10,10,1125,1250,125,45.0,50.0,0.31246726034573075,3.2003352891869237,575,10022.0,0.7619237677110358,1.4705400981996726,0.38520179245634517
